"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Bruichladdich Port Charlotte PC11 Eorna Na H-Alba","8.92","0.26","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2010 3rd Edition - 10th Anniversary","8.92","0.30","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box The Lost Blend","8.92","0.23","14","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 18yo","8.92","0.2","21","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Smogen Single Cask 4yo 7/2011","8.92","0.21","4","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Barrell 15yo Craft Spirits Bourbon (Batch 001)","8.92","0.36","4","$$$$$+","Bourbon-like","","","USA","Blend"
"Blanton's Straight from the Barrel Bourbon","8.92","0.22","11","$$$$","Bourbon-like","","R2","USA","Bourbon"
"BenRiach 35yo","8.91","0.61","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt 18yo","8.91","0.12","16","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"GlenDronach 19yo Madeira Finish","8.91","0.38","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kavalan ex-Bourbon Oak","8.91","0.23","6","$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Mackmyra Iskristall","8.91","0.27","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Port Ellen 8th release 29yo","8.91","0.46","8","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 57 North","8.91","0.22","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Box (High Coast) The Festival 2014","8.91","0.11","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Compass Box Peat Monster 2008 Reserve Edition","8.91","0.19","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"High West Rendezvous Rye (all bottlings)","8.91","0.28","18","$$$$","Rye-like","","R4","USA","Rye"
"High West Rendezvous Rye (pre-2018)","8.91","0.28","18","$$$$","Rye-like","","R4","USA","Rye"
"Sazerac 18yo","8.91","0.29","16","$$$$$+","Rye-like","","R4","USA","Rye"
"Willett Family Estate 6yo Rye","8.91","0.24","5","$$$$","Rye-like","","R4","USA","Rye"
"Old Rip Van Winkle 10yo","8.91","0.21","11","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Stagg Jr (batches 3+)","8.91","0.17","11","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 17yo Bourbon","8.91","0.57","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Aberlour A'Bunadh (Batch 42)","8.90","0.26","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 46)","8.90","0.08","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.90","0.21","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (all batches)","8.90","0.11","19","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 4)","8.90","0.25","13","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 21yo","8.90","0.39","17","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Nadurra First Fill (White Oak)","8.90","0.24","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Limited Edition 2016","8.9","0.25","3","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Teeling Silver Reserve 21yo Sauternes Finish","8.9","0.35","10","$$$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Talisker Distiller's Edition (all editions)","8.9","0.23","24","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box No Name No. 2","8.90","0.15","3","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box The Circus","8.90","0.25","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Glengoyne 40yo","8.89","0.81","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Kilchoman Loch Gorm","8.89","0.21","21","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Cairdeas 2013 Port Wood","8.89","0.46","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 18yo Sherry Oak","8.89","0.32","19","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan Edition No. 2","8.89","0.21","16","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 4","8.89","0.37","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Box (High Coast) The 2nd Step Collection 03","8.89","0.41","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"BenRiach 21yo Authenticus Peated","8.89","0.33","15","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2012 4th Edition","8.89","0.31","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kavalan Distillery Reserve Peaty Cask","8.89","0.30","5","$$$$$+","SingleMalt-like","I","I","Taiwan","Malt"
"Talisker 8yo 2018 Special Release","8.89","0.3","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 10","8.89","0.38","5","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Barrell Dovetail Whiskey (all Batches)","8.89","0.40","4","$$$$","Bourbon-like","","","USA","Blend"
"Heaven Hill Select Stock Barrel","8.89","0.12","3","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's 150th Anniversary","8.89","0.32","3","$$$","Bourbon-like","","R1","USA","Bourbon"
"Stagg Jr batch 5 (129.7 proof)","8.89","0.32","3","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Amrut PX Sherry Single Cask 3516 (SAQ)","8.88","0.21","6","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Highland Park 16yo Thor","8.88","0.29","13","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Fusion","8.88","0.27","25","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Herald","8.88","0.15","6","$$$$","SingleMalt-like","EF","E","India","Malt"
"Caol Ila 18yo Unpeated 2017","8.88","0.30","13","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie Ealanta","8.88","0.27","16","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Bruichladdich Laddie Twenty Two 22yo","8.88","0.25","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Caol Ila 25yo","8.88","0.21","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Amrut 100 Peated","8.88","0.33","7","$$$$","SingleMalt-like","J","J","India","Malt"
"Ardbeg 10yo","8.88","0.35","25","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 8yo","8.88","0.24","21","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Willett Family Estate 4yo Rye","8.88","0.48","8","$$$","Rye-like","","R4","USA","Rye"
"Barrell Bourbon Batch 013","8.88","0.25","3","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Bunnahabhain 25yo","8.87","0.28","17","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Kilchoman PX Sherry Finish","8.87","0.19","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 10yo Sherry Oak Cask Strength","8.87","0.54","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Springbank 12yo Cask Strength","8.87","0.24","20","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"White Oak Akashi 14yo","8.87","0.47","3","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Glen Grant 25yo","8.87","0.17","3","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Laddie Ten 10yo (Second Edition)","8.87","0.21","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra Vinterdrom","8.87","0.06","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Bruichladdich Port Charlotte 10yo Heavily Peated (Second Edition)","8.87","0.35","11","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts The Rockpool","8.87","0.28","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"AnCnoc Rutter","8.87","0.31","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Brora 21yo","8.87","0.41","4","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"High West Double Rye (new recipe, post-2018)","8.87","0.29","4","$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 7yo Rye","8.87","0.2","6","$$$$","Rye-like","","R4","USA","Rye"
"Amrut Intermediate Sherry","8.86","0.48","22","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Ben Nevis 10yo (post-2017)","8.86","0.44","7","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Box (High Coast) PX - Pedro Ximénez Finish","8.86","0.18","8","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Glen Garioch 1998 Wine Cask Matured","8.86","0.24","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 21yo","8.86","0.20","18","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Astar","8.86","0.25","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kilkerran 12yo","8.86","0.22","16","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackinlay's Shackleton Rare Old Highland Malt Discovery edition","8.86","0.41","16","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Ardbeg Dark Cove","8.86","0.31","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.1","8.86","0.15","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2019 Triple Wood Cask Strength","8.86","0.14","3","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"J.P. Wiser's Union 52","8.86","0.36","10","$$$","Rye-like","","","Canada","Blend"
"Lot 40","8.86","0.33","22","$$","Rye-like","","","Canada","Rye"
"Barrell Bourbon (all Batches)","8.86","0.26","9","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Colonel E.H. Taylor Four Grain","8.86","0.29","9","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Colonel EH. Taylor Barrel Proof","8.86","0.18","9","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey 17yo Master's Keep","8.86","0.3","10","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 11yo Bourbon","8.86","0.3","6","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Aberlour A'Bunadh (Batch 34)","8.85","0.29","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 15yo Revival","8.85","0.25","22","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Nadurra 16yo","8.85","0.20","23","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Scallywag 13yo","8.85","0.06","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Box (High Coast) The 2nd Step Collection 02","8.85","0.15","8","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Kavalan Solist Ex-Bourbon","8.85","0.22","20","$$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Kininvie 17yo (all batches)","8.85","0.30","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Kavalan Distillery Reserve Rum Cask","8.85","0.26","3","$$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Old Pulteney 21yo","8.85","0.30","20","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Two Brewers Cask Strength (all releases)","8.85","0.21","4","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Two Brewers Release 10 Cask Strength","8.85","0.21","4","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Bladnoch 9yo Lightly Peated","8.85","0.59","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 10yo","8.85","0.23","25","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Amrut Rye","8.85","0.28","8","$$$$","Rye-like","","","India","Rye"
"Gooderham & Worts 19yo 49 Wellington (2019)","8.85","0.40","3","$$$$","Rye-like","","","Canada","Blend"
"Gooderham & Worts Eleven Souls Four Grain (2018)","8.85","0.33","11","$$$$","Rye-like","","","Canada","Blend"
"Michter's 10yo Single Barrel Rye","8.85","0.24","8","$$$$$+","Rye-like","","R4","USA","Rye"
"Angel's Envy Cask Strength","8.85","0.44","10","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey Kentucky Spirit Single Barrel","8.85","0.28","14","$$$","Bourbon-like","","R2","USA","Bourbon"
"AnCnoc 1975","8.84","0.56","4","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Ben Nevis 18yo The Maltman","8.84","0.18","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 6)","8.84","0.17","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longrow Red 12yo Pinot Noir Finish","8.84","0.33","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:2","8.84","0.19","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Arran Malt 17yo","8.84","0.24","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Bourbon Single Cask","8.84","0.24","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt The Devil’s Punch Bowl (all chapters)","8.84","0.28","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Double Single","8.84","0.29","9","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Compass Box Double Single (all editions)","8.84","0.28","10","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Bowmore Mizunara Cask Finish","8.84","0.45","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Ardbeg Grooves","8.84","0.20","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Monster 2004","8.84","0.35","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo","8.84","0.27","25","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig An Cuan Mor","8.84","0.18","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2016 Madeira","8.84","0.42","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Whistlepig The Boss Hog","8.84","0.27","11","$$$$$","Rye-like","","","Canada","Blend"
"Colonel E.H. Taylor Single Barrel","8.84","0.31","10","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Eagle Rare 17yo","8.84","0.30","15","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Michter's 10yo Single Barrel Bourbon","8.84","0.30","11","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Parker’s Heritage 11th 2017 11yo","8.84","0.44","5","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 5yo Bourbon","8.84","0.13","3","$$$","Bourbon-like","","R2","USA","Bourbon"
"Amrut Kadhambam","8.83","0.27","17","$$$$","SingleMalt-like","ABC","C","India","Malt"
"BenRiach 18yo Latada","8.83","0.16","7","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Deanston 2008 Bordeaux Red Wine Cask Matured","8.83","0.22","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"GlenDronach 12yo Sauternes Cask Finish","8.83","0.18","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longmorn 15yo","8.83","0.38","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Sherry Oak","8.83","0.46","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Millstone 12yo Sherry Cask","8.83","0.35","10","$$$$","SingleMalt-like","ABC","C","Netherlands","Malt"
"Compass Box Spice Tree Extravaganza","8.83","0.26","11","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"BenRiach 25yo Authenticus Peated","8.83","0.48","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 (Second Edition)","8.83","0.20","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC12 Oileanach Furachail","8.83","0.43","11","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Dun Bheagan Islay 2009","8.83","0.20","3","$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 5 Alioth","8.83","0.26","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Ardbeg Auriverdes","8.83","0.38","19","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.2","8.83","0.48","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2018 Fino","8.83","0.27","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Masterson's Straight Rye 10yo","8.83","0.38","17","$$$$","Rye-like","","","Canada","Rye"
"Barrell Bourbon Batch 009","8.83","0.16","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Forester 1920 Prohibition Style","8.83","0.28","6","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 23yo","8.83","0.44","7","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"W.L. Weller 12yo","8.83","0.18","17","$$$$$","Bourbon-like","","R0","USA","Bourbon"
"Green Spot Chateau Leoville Barton","8.82","0.37","10","$$$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Game of Thrones House Tyrell Clynelish Reserve","8.82","0.20","9","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Macallan Edition No. 3","8.82","0.21","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Glöd","8.82","0.43","4","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Midleton Very Rare (all vintages)","8.82","0.43","13","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Wemyss Malts Kiln Embers","8.82","0.17","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Powers 12yo John's Lane","8.82","0.36","18","$$$$","Scotch-like","","","Ireland","Blend"
"Aberlour 12yo Non-Chill-Filtered","8.81","0.22","13","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour A'Bunadh (Batch 32)","8.81","0.70","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 59)","8.81","0.20","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 60)","8.81","0.23","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Companta","8.81","0.54","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Brandy Oak","8.81","0.25","6","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Laphroaig PX Triple Matured","8.81","0.57","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Reflexion","8.81","0.29","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Smogen Sherry Project 1:4","8.81","0.25","5","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Glenlivet 21yo Archive (all batches)","8.81","0.27","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka From the Barrel","8.81","0.36","25","$$$","SingleMalt-like","EF","F","Japan","Blend"
"Bruichladdich Laddie Ten 10yo","8.81","0.27","18","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 21yo","8.81","0.27","12","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"GlenDronach Peated Port Wood","8.81","0.19","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Forty Creek Confederation Oak (Batch A, B)","8.81","0.43","17","$$$","Rye-like","","","Canada","Blend"
"Little Book (all Chapters)","8.81","0.21","12","$$$$","Rye-like","","","USA","Blend"
"Elijah Craig Barrel Proof","8.81","0.34","14","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jefferson's 18yo Presidential Select","8.81","0.46","9","$$$$$+","Bourbon-like","","R3","USA","Bourbon"
"Parker’s Heritage 8th 13yo Wheat Whiskey","8.81","0.51","12","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Willett Family Estate 14yo Bourbon","8.81","0.45","4","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Yellowstone 2018 Limited Edition","8.81","0.2","3","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Aberlour A'Bunadh (Batch 61)","8.80","0.20","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut PX Sherry Single Cask (all casks)","8.80","0.46","15","$$$$","SingleMalt-like","ABC","A","India","Malt"
"Balblair 1990 Second Release","8.80","0.24","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain 14yo 2003 Pedro Ximenez Finish","8.80","0.60","10","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Compass Box This is Not a Luxury Whisky","8.80","0.45","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Nadurra Cask Strength (NAS)","8.80","0.10","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Royal Brackla 21yo","8.8","0.19","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Compass Box Spice Tree","8.80","0.31","24","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mackmyra Moment Urberg","8.80","0.26","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Old Pulteney 15yo","8.80","0.41","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Paul John Single Cask","8.80","0.44","6","$$$$","SingleMalt-like","EF","E","India","Malt"
"Benromach 5yo","8.80","0.19","4","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Two Brewers Release 06 Classic","8.8","0.36","4","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Ledaig 19yo Marsala Finish","8.80","0.31","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ardbeg Perpetuum","8.80","0.44","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Game of Thrones House Lannister Lagavulin 9yo","8.80","0.22","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow CV","8.80","0.33","17","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Booker's Small Batch Straight Bourbon","8.80","0.25","21","$$$","Bourbon-like","","R2","USA","Bourbon"
"J.P. Wiser's Last Barrels","8.80","0.33","12","$$$","Bourbon-like","","","Canada","Blend"
"Russell's Reserve Single Barrel","8.8","0.23","11","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Stagg Jr batch 3 (132.1 proof)","8.8","0.24","8","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Arran Malt Amarone Cask Finish","8.79","0.31","14","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Teapot Dram (all batches)","8.79","0.45","6","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park Full Volume","8.79","0.24","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Two Continents","8.79","0.45","15","$$$$","SingleMalt-like","EF","E","India","Malt"
"Auchentoshan 21yo","8.79","0.25","13","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 25yo","8.79","0.43","16","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich 21yo Cuvée 640 Eroica","8.79","0.43","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Project XX Experimental Series No. 2","8.79","0.22","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 1","8.79","0.48","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Very Rare 2016","8.79","0.34","4","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Nikka Taketsuru 17yo","8.79","0.25","15","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Arran Malt Orkney Bere Barley","8.79","0.31","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Enlightenment","8.79","0.20","6","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kilkerran Work in Progress Bourbon Wood","8.79","0.37","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenlivet Nadurra Peated Cask Finish","8.79","0.24","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo (all editions)","8.79","0.31","6","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Laphroaig 15yo (200th Anniversary)","8.79","0.32","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Barrell Bourbon Batch 008","8.79","0.19","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Willett Family Estate 13yo Bourbon","8.79","0.46","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Bowmore 25yo","8.78","0.48","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Garioch 15yo Renaissance Chapter 1","8.78","0.24","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Bacalta","8.78","0.32","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Grant Five Decades","8.78","0.24","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 17yo Fine Oak","8.78","0.50","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackinlay's Shackleton Rare Old Highland Malt (both limited editions)","8.78","0.36","18","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki Bourbon Barrel","8.78","0.25","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Bruichladdich Port Charlotte 10yo Heavily Peated (First Edition)","8.78","0.20","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Westland Peat Week","8.78","0.3","5","$$$$","SingleMalt-like","I","I","USA","Malt"
"BenRiach 18yo Dunder","8.78","0.29","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.3","8.78","0.64","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 9.1","8.78","0.38","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Ceòbanach","8.78","0.26","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2015 Cask Strength","8.78","0.30","5","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow Peated","8.78","0.18","17","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Chivas Regal Ultis","8.78","0.51","8","$$$$$","Scotch-like","","","Scotland","Blend"
"Pikesville Straight Rye","8.78","0.35","19","$$$$","Rye-like","","R4","USA","Rye"
"Smooth Ambler Old Scout Single Barrel Bourbon","8.78","0.22","9","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey 14yo Tradition","8.78","0.27","5","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey Diamond Anniversary","8.78","0.3","7","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Aberlour A'Bunadh (Batch 48)","8.77","0.50","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longrow Red 11yo Australian Shiraz","8.77","0.32","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
